feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0020","Viral Trend Recommendations","Algorithm that promotes trending content and challenges to maximize engagement","recommendations","Netherlands","None","13","17","engagement_patterns; viral_participation; social_graph","variable_rewards; push_notifications; social_pressure; algorithmic_ranking; infinite_scroll","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_recommendations","0.85","2025-08-30T17:05:41.417804"
"GEN-0021","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","Netherlands","None","13","17","achievement_progress; engagement_metrics; competition_data","variable_rewards; gamification; social_pressure; social_competition; infinite_scroll","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk; high_risk_feature","template_growth","0.75","2025-08-30T17:05:41.417828"
"GEN-0022","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","New York","13","17","interaction_patterns; live_viewing_history; creator_follows","live_notifications; social_pressure; fomo_triggers","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.86","2025-08-30T17:05:41.417850"
"GEN-0023","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","Germany","None","13","15","engagement_patterns; device_info; viewing_history","variable_rewards; push_notifications; social_pressure; autoplay; infinite_scroll","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk; high_risk_feature","template_recommendations","0.91","2025-08-30T17:05:41.417873"
"GEN-0024","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","Germany","None","13","15","content_preferences; age_verification_data","variable_rewards; push_notifications; social_pressure","strict_age_verification","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_live_streaming","0.77","2025-08-30T17:05:41.417898"
"GEN-0025","Influencer Sponsored Content","Branded content promotion through creator partnerships with disclosure","advertising","Germany","None","16","18","engagement_history; creator_preferences","social_influence; variable_rewards; push_notifications; social_pressure","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_advertising","0.78","2025-08-30T17:05:41.417923"
"GEN-0026","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Germany","None","18","65","report_history; behavioral_patterns; comment_analysis","variable_rewards; social_pressure","parental_controls; age_verification; automatic_intervention; content_filtering; counseling_resources; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk","template_safety","0.85","2025-08-30T17:05:41.417949"
"GEN-0027","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","California","21","65","contact_lists; message_content; conversation_history","","message_filtering; parental_oversight; parental_controls; age_verification; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","high_risk_feature","template_messaging","0.94","2025-08-30T17:05:41.417972"
"GEN-0028","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","Illinois","14","16","browsing_behavior; demographic_data; purchase_history","variable_rewards; push_notifications; social_pressure; targeted_advertising; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_advertising","0.73","2025-08-30T17:05:41.417996"
"GEN-0029","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","USA","California","21","65","login_patterns; streak_data; reward_history","loss_aversion; habit_formation","age_verification; content_filtering","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","high_risk_feature","template_growth","0.78","2025-08-30T17:05:41.418018"
"GEN-0030","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","France","None","21","65","login_patterns; streak_data; reward_history","habit_formation","parental_controls; content_filtering; user_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_growth","0.79","2025-08-30T17:05:41.418043"
"GEN-0031","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","California","18","25","message_metadata; deletion_logs","","screenshot_detection","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_messaging","0.71","2025-08-30T17:05:41.418061"
"GEN-0032","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","California","18","25","social_connections; friend_activity; interaction_history","social_validation; real_time_updates","privacy_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_recommendations","0.81","2025-08-30T17:05:41.418078"
"GEN-0033","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","Florida","16","18","content_preferences; age_verification_data","variable_rewards; push_notifications; social_pressure; infinite_scroll","strict_age_verification","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","minor_targeting; addiction_risk","template_live_streaming","0.84","2025-08-30T17:05:41.418102"
"GEN-0034","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","Illinois","18","65","message_metadata; deletion_logs","","parental_controls; screenshot_detection; content_filtering; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_messaging","0.81","2025-08-30T17:05:41.418124"
"GEN-0035","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","USA","California","13","17","retention_schedules; deletion_logs","variable_rewards; push_notifications; infinite_scroll","user_notification","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","child_targeting; addiction_risk","template_privacy","0.87","2025-08-30T17:05:41.418148"
"GEN-0036","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","USA","Illinois","18","65","achievement_progress; engagement_metrics; competition_data","variable_rewards; gamification; social_pressure; social_competition; infinite_scroll","age_verification; content_filtering; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk; high_risk_feature","template_growth","0.88","2025-08-30T17:05:41.418171"
"GEN-0037","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","Germany","None","13","18","shared_content; admin_actions; group_membership","group_dynamics","group_moderation; reporting_tools","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting","template_messaging","0.75","2025-08-30T17:05:41.418188"
"GEN-0038","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","California","16","18","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","default_private_settings","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk","template_privacy","0.92","2025-08-30T17:05:41.418213"
"GEN-0039","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","USA","Florida","18","25","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: variable_rewards","US-FL","addiction_risk; high_risk_feature","template_growth","0.81","2025-08-30T17:05:41.418234"
"GEN-0040","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","California","14","16","interaction_patterns; live_viewing_history; creator_follows","variable_rewards; fomo_triggers; live_notifications; push_notifications; social_pressure; infinite_scroll","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.75","2025-08-30T17:05:41.418257"
"GEN-0041","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","USA","Texas","16","18","shared_content; admin_actions; group_membership","group_dynamics","group_moderation; reporting_tools","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting","template_messaging","0.91","2025-08-30T17:05:41.418273"
"GEN-0042","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","New York","14","17","social_validation_data; engagement_metrics","public_metrics; social_validation","hide_metrics_option","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting","template_growth","0.94","2025-08-30T17:05:41.418289"
"GEN-0043","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","USA","California","13","18","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure","","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","child_targeting; addiction_risk; high_risk_feature","template_growth","0.75","2025-08-30T17:05:41.418305"
"GEN-0044","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","Illinois","16","18","contact_lists; message_content; conversation_history","","parental_oversight; message_filtering","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; high_risk_feature","template_messaging","0.91","2025-08-30T17:05:41.418321"
"GEN-0045","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","USA","Texas","18","25","retention_schedules; deletion_logs","variable_rewards; push_notifications; infinite_scroll","parental_controls; user_notification; recovery_period","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_privacy","0.79","2025-08-30T17:05:41.418343"
"GEN-0046","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","France","None","18","65","shared_content; admin_actions; group_membership","group_dynamics","parental_controls; age_verification; reporting_tools; content_filtering; group_moderation; user_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","","template_messaging","0.9","2025-08-30T17:05:41.418368"
"GEN-0047","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","USA","California","16","18","engagement_patterns; device_info; viewing_history","variable_rewards; push_notifications; social_pressure; autoplay; infinite_scroll","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk; high_risk_feature","template_recommendations","0.82","2025-08-30T17:05:41.418390"
"GEN-0048","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","Germany","None","18","25","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure","","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_growth","0.73","2025-08-30T17:05:41.418408"
"GEN-0049","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","California","18","65","content_preferences; age_verification_data","variable_rewards; social_pressure","parental_controls; age_verification; content_warnings; content_filtering; strict_age_verification; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","addiction_risk","template_live_streaming","0.9","2025-08-30T17:05:41.418432"
"GEN-0050","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","Netherlands","None","18","25","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","clear_explanations; default_private_settings","Partially Compliant","Partial compliance: 1 violations mitigated by clear_explanations","EU","addiction_risk","template_privacy","0.7","2025-08-30T17:05:41.418450"
"GEN-0051","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","USA","Florida","13","18","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida); Uses addictive feature: variable_rewards","US-FL","child_targeting; addiction_risk; high_risk_feature","template_growth","0.88","2025-08-30T17:05:41.418467"
"GEN-0052","Influencer Sponsored Content","Branded content promotion through creator partnerships with disclosure","advertising","USA","New York","13","18","engagement_history; creator_preferences","social_influence; variable_rewards; push_notifications; social_pressure","sponsorship_disclosure","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_advertising","0.91","2025-08-30T17:05:41.418483"
"GEN-0053","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","New York","13","17","gifting_history; payment_info; spending_patterns","variable_rewards; social_status; push_notifications; infinite_scroll; virtual_economy","spending_limits","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.75","2025-08-30T17:05:41.418508"
"GEN-0054","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","USA","Florida","14","17","gifting_history; payment_info; spending_patterns","variable_rewards; social_status; push_notifications; infinite_scroll; virtual_economy","spending_limits; parental_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards and 1 other issues","US-FL","minor_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.83","2025-08-30T17:05:41.418526"
"GEN-0055","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","Illinois","18","25","time_spent_learning; quiz_results; educational_preferences","","parental_controls; age_verification; time_limits; content_filtering","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_recommendations","0.77","2025-08-30T17:05:41.418548"
"GEN-0056","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","Florida","13","18","report_logs; content_hashes; detection_metadata","","automated_reporting; human_review; law_enforcement_cooperation","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida)","US-FL","child_targeting","template_safety","0.84","2025-08-30T17:05:41.418563"
"GEN-0057","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","New York","18","25","message_metadata; deletion_logs","","screenshot_detection","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_messaging","0.76","2025-08-30T17:05:41.418578"
"GEN-0058","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","California","18","25","report_logs; content_hashes; detection_metadata","","human_review; parental_controls; age_verification; law_enforcement_cooperation; automated_reporting; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_safety","0.91","2025-08-30T17:05:41.418600"
"GEN-0059","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","Netherlands","None","16","18","visit_history; location_data; local_preferences","push_notifications; social_pressure","location_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk; privacy_risk","template_advertising","0.77","2025-08-30T17:05:41.418617"
"GEN-0060","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","Florida","18","25","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","clear_explanations; parental_controls; age_verification; content_filtering; default_private_settings; user_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards","US-FL","addiction_risk","template_privacy","0.94","2025-08-30T17:05:41.418640"
"GEN-0061","Daily Login Streaks","Reward system for consecutive daily app usage with escalating benefits","growth","USA","New York","14","17","login_patterns; streak_data; reward_history","variable_rewards; habit_formation; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk; high_risk_feature","template_growth","0.84","2025-08-30T17:05:41.418656"
"GEN-0062","Personalized Study Feed","AI-curated educational content based on learning preferences and academic interests","recommendations","USA","Illinois","18","25","time_spent_learning; quiz_results; educational_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_recommendations","0.81","2025-08-30T17:05:41.418678"
"GEN-0063","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","Netherlands","None","14","17","content_preferences; age_verification_data","variable_rewards; social_pressure","strict_age_verification; content_warnings","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","minor_targeting; addiction_risk","template_live_streaming","0.94","2025-08-30T17:05:41.418699"
"GEN-0064","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","California","21","65","report_logs; content_hashes; detection_metadata","","human_review; parental_controls; age_verification; law_enforcement_cooperation; content_filtering; automated_reporting; user_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","","template_safety","0.8","2025-08-30T17:05:41.418720"
"GEN-0065","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","Texas","14","16","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","default_private_settings","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_privacy","0.84","2025-08-30T17:05:41.418744"
"GEN-0066","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Florida","16","18","visit_history; location_data; local_preferences","push_notifications; social_pressure","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications","US-FL","minor_targeting; addiction_risk; privacy_risk","template_advertising","0.87","2025-08-30T17:05:41.418809"
"GEN-0067","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","USA","Illinois","13","15","shared_content; admin_actions; group_membership","variable_rewards; group_dynamics; push_notifications; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_messaging","0.76","2025-08-30T17:05:41.418833"
"GEN-0068","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Illinois","16","18","social_validation_data; engagement_metrics","variable_rewards; push_notifications; public_metrics; social_pressure; infinite_scroll; social_validation","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_growth","0.81","2025-08-30T17:05:41.418856"
"GEN-0069","Auto-play Next Video","Automatic progression to next recommended video without user interaction","recommendations","USA","Florida","18","25","content_preferences; viewing_patterns","autoplay; seamless_transition","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: autoplay","US-FL","high_risk_feature","template_recommendations","0.87","2025-08-30T17:05:41.418872"
"GEN-0070","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","France","None","18","65","gifting_history; payment_info; spending_patterns","variable_rewards; social_status; push_notifications; infinite_scroll; virtual_economy","spending_limits; parental_controls; age_verification; content_filtering; user_controls","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","addiction_risk; high_risk_feature","template_live_streaming","0.94","2025-08-30T17:05:41.418896"
"GEN-0071","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","New York","14","17","social_validation_data; engagement_metrics","variable_rewards; push_notifications; public_metrics; social_pressure; infinite_scroll; social_validation","hide_metrics_option","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_growth","0.75","2025-08-30T17:05:41.418913"
"GEN-0072","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","Germany","None","18","25","settings_history; privacy_preferences","push_notifications; variable_rewards; infinite_scroll; social_pressure","clear_explanations; default_private_settings","Partially Compliant","Partial compliance: 1 violations mitigated by clear_explanations","EU","addiction_risk","template_privacy","0.84","2025-08-30T17:05:41.418930"
"GEN-0073","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","Netherlands","None","16","18","message_metadata; deletion_logs","","screenshot_detection","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_messaging","0.88","2025-08-30T17:05:41.418946"
