feature_id,doc_id,doc_type,doc_title,version,authors,date,feature_title,feature_description,objectives,scope,user_segments,risk_safety,privacy_data,age_gating,geo_regions,rollout,open_questions,text_original_hash,text_expanded_hash,codename_hits_json,parse_warnings,source_path
csv_feature_0010,features_csv,csv,,,,,Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",,,,,,,,,,6e194f1c0857804e25d9b2dcda2bb512313789a20f675ef02ddb2ed6ea000d8f,67135d98c0726e08c025ec2feee2d89f90aaa93478a46d485478c0239d2fcde5,"[{""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[215, 217]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[179, 188]]}]",,features.csv
csv_feature_0011,features_csv,csv,,,,,Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,,,,,,,,,,1bd91c108bfb56c393aa430bfca7aef8505547ce35d2c64cd9d3fd631d2a212b,0db5e4f958acdf61256535f4919109db4c1cfe106dbc7ae20a5c35517c807bd9,"[{""term"": ""FR"", ""expansion"": ""Feature Registry - System for tracking and managing feature rollouts and configurations"", ""count"": 1, ""spans"": [[169, 171]]}, {""term"": ""IMT"", ""expansion"": ""Identity Management Tool - System for verifying and managing user identity and permissions"", ""count"": 1, ""spans"": [[199, 202]]}]",,features.csv
csv_feature_0012,features_csv,csv,,,,,Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,,,,,,,,,,6cffbfd6e410121c17667338a5e133309065f18c415ecef9aedae4e0044aae1a,aeb67da5cd8c8e16a98b275102ea41b392d6f5f37dd405e97478c385aaf08c36,"[{""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[156, 158]]}, {""term"": ""PF"", ""expansion"": ""Personalization Feed - Algorithm that customizes content recommendations based on user behavior"", ""count"": 2, ""spans"": [[57, 59], [20, 22]]}, {""term"": ""ShadowMode"", ""expansion"": ""Testing mode where features are deployed but their effects are logged without impacting user experience"", ""count"": 1, ""spans"": [[190, 200]]}]",,features.csv
csv_feature_0013,features_csv,csv,,,,,New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",,,,,,,,,,a5263c7365621a43741c9830f07e6f20e44d6bfd165a5086dc292ff3d781bf68,97cc4ac248651f161ea944825d3f1093de5a1153dea6af00512af3f191551f97,"[{""term"": ""NR"", ""expansion"": ""Non-Reversible - Configuration setting that cannot be changed by users without administrative intervention"", ""count"": 2, ""spans"": [[101, 103], [30, 32]]}, {""term"": ""Spanner"", ""expansion"": ""A/B testing framework for controlled feature rollouts and experimentation"", ""count"": 1, ""spans"": [[181, 188]]}]",,features.csv
csv_feature_0014,features_csv,csv,,,,,Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,,,,,,,,,,0b4e62b84147bf922eff16ecab65a2316d33c925de0c0514456c7b747635e7c2,efb4c897a64ff6a0cf09ed3acf938a3219b8d6eca1bd2a963be3a02482cdb7be,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 2, ""spans"": [[103, 106], [41, 44]]}, {""term"": ""DRT"", ""expansion"": ""Data Retention Tool - System managing automated data lifecycle and deletion policies"", ""count"": 1, ""spans"": [[147, 150]]}]",,features.csv
csv_feature_0015,features_csv,csv,,,,,Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",,,,,,,,,,72e82f445c1c5f49d071a00dc87e36a7f1ba3e1b548d0747f148e5d6885b36d5,442c08711ffdc93874953845ce76c19cf271ee7d658e5bb7b5a9d08cb347a07c,"[{""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[150, 152]]}, {""term"": ""EEA"", ""expansion"": ""European Economic Area - Geographic region subject to EU digital regulations"", ""count"": 1, ""spans"": [[103, 106]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[113, 115]]}]",,features.csv
csv_feature_0016,features_csv,csv,,,,,Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,,,,,,,,,,97205a001787f14e0f27e342a3a9b1b8106617a998fee67872b586ce5430c500,be052202ca19ce17f3f4875872f5c6e861082ef0d19b12606f6d57b2e43c1666,"[{""term"": ""CA"", ""expansion"": ""Canada - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[75, 77]]}, {""term"": ""Glow"", ""expansion"": ""Monitoring system that tracks feature health and performance metrics during rollouts"", ""count"": 1, ""spans"": [[154, 158]]}, {""term"": ""PF"", ""expansion"": ""Personalization Feed - Algorithm that customizes content recommendations based on user behavior"", ""count"": 2, ""spans"": [[61, 63], [22, 24]]}, {""term"": ""Spanner"", ""expansion"": ""A/B testing framework for controlled feature rollouts and experimentation"", ""count"": 1, ""spans"": [[112, 119]]}]",,features.csv
csv_feature_0017,features_csv,csv,,,,,Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",,,,,,,,,,4dea4d4d2811853d46fdc9ed90e01e38e61c8a381bcab9e08427d7ee0c2a3089,d56e20083d1d43a62524ed18aea37c6c26fc66be553e32922bbb291821718dbe,"[{""term"": ""BR"", ""expansion"": ""Brazil - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[107, 109]]}, {""term"": ""CA"", ""expansion"": ""Canada - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[99, 101]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[115, 117]]}, {""term"": ""ID"", ""expansion"": ""Indonesia - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[111, 113]]}, {""term"": ""ShadowMode"", ""expansion"": ""Testing mode where features are deployed but their effects are logged without impacting user experience"", ""count"": 1, ""spans"": [[153, 163]]}, {""term"": ""US"", ""expansion"": ""United States - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[103, 105]]}]",,features.csv
csv_feature_0018,features_csv,csv,,,,,Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",,,,,,,,,,6e4b956b77a429651e110ec9749bc3d942a98a71997ec3535879974a83baaee5,5cecca30b69cb95915566bb39ff7a07a2364296138a0ef45d62c586e761a22bc,"[{""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[103, 105]]}, {""term"": ""Spanner"", ""expansion"": ""A/B testing framework for controlled feature rollouts and experimentation"", ""count"": 1, ""spans"": [[127, 134]]}, {""term"": ""US"", ""expansion"": ""United States - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[99, 101]]}]",,features.csv
csv_feature_0019,features_csv,csv,,,,,South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,,,,,,,,,,83cae1e5078c7a3b464bfdbd53a86795d3b14438719f35011d1934f437181b76,f438b5738936f40c46029706ee2a239f8aed631b464b52521497225c36d13e6a,"[{""term"": ""FR"", ""expansion"": ""Feature Registry - System for tracking and managing feature rollouts and configurations"", ""count"": 1, ""spans"": [[166, 168]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[144, 146]]}]",,features.csv
csv_feature_0020,features_csv,csv,,,,,Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",,,,,,,,,,456bd4d9e65292d0326b76ee58fdcb0e6a4851b9d9dab9f1103bf55ab89c0c13,42d71fcbc962a7100c7fa31c98e6bdc37fcbb9dacfd03184510420acd75da66b,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 2, ""spans"": [[111, 114], [49, 52]]}, {""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 1, ""spans"": [[212, 215]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[176, 185]]}, {""term"": ""US"", ""expansion"": ""United States - Geographic region identifier for feature targeting"", ""count"": 1, ""spans"": [[125, 127]]}]",,features.csv
csv_feature_0021,features_csv,csv,,,,,Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",,,,,,,,,,94494f7150c60bb31ff311cffdbee31b89cc46fb4b699a887e183519a241aaa1,c18ee6fce6279487fc68990b03fce0f6f4b6c5d9a6d5f0822c07c59511f42658,"[{""term"": ""LCP"", ""expansion"": ""Legal Compliance Parameters - Configurable rules governing content restrictions"", ""count"": 2, ""spans"": [[106, 109], [39, 42]]}, {""term"": ""ShadowMode"", ""expansion"": ""Testing mode where features are deployed but their effects are logged without impacting user experience"", ""count"": 1, ""spans"": [[129, 139]]}]",,features.csv
csv_feature_0022,features_csv,csv,,,,,Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,,,,,,,,,,78de6cb5b9310cdacedbab08d99b24956ee608b5af1da94123c61479465330ca,dd0b2ee8f86263b2e4b374c651f453e3bfbe165d4e8f23b30859dba0360e5346,"[{""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[147, 149]]}, {""term"": ""IMT"", ""expansion"": ""Identity Management Tool - System for verifying and managing user identity and permissions"", ""count"": 1, ""spans"": [[110, 113]]}]",,features.csv
csv_feature_0023,features_csv,csv,,,,,Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",,,,,,,,,,d29215a936c40841d3be76944b6861bda1e827a0054a43a13b0643484c7cf07f,d795ba7c8fc8d02c0453266f2c24f63654027c039bde4b19332fce5339ad3e0a,"[{""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 1, ""spans"": [[131, 134]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[210, 219]]}, {""term"": ""Redline"", ""expansion"": ""Critical alert status requiring immediate legal or compliance team review"", ""count"": 1, ""spans"": [[140, 147]]}]",,features.csv
csv_feature_0024,features_csv,csv,,,,,User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,,,,,,,,,,117008a6f6cf351aa5d7f24adce62cedbfadba18640f6e4b2df6b13375242c50,061e1a08c435d86ff595c2164b46ad5c689cfbda73f7eabea809f4ecffef6b90,"[{""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[193, 195]]}, {""term"": ""Spanner"", ""expansion"": ""A/B testing framework for controlled feature rollouts and experimentation"", ""count"": 1, ""spans"": [[86, 93]]}]",,features.csv
csv_feature_0025,features_csv,csv,,,,,Minor-safe chat expansion via Jellybean,"We’re expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",,,,,,,,,,13322767dd4487676854b6fff6bbef0d08d314efa5d1bcd6b08b5f71dd528b26,78204380b7f42f2b428503bcd57170cb4e59c6929ac97bbd8f4a3cb24d47a04e,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 1, ""spans"": [[194, 197]]}, {""term"": ""BB"", ""expansion"": ""Behavior Baseline - Machine learning model that establishes normal user behavior patterns"", ""count"": 1, ""spans"": [[187, 189]]}, {""term"": ""Jellybean"", ""expansion"": ""Parental control framework for managing minor user accounts and permissions"", ""count"": 2, ""spans"": [[119, 128], [39, 48]]}]",,features.csv
csv_feature_0026,features_csv,csv,,,,,Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.",,,,,,,,,,ceaf2771e605e6c93b76eef0c4010ad288b593481f3c8f2061d891f39269df33,d85dd6e3a60c28141cff580bacfbb71bf9712af3f54888edb6e32fd465dcf272,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 1, ""spans"": [[165, 168]]}, {""term"": ""CDS"", ""expansion"": ""Compliance Detection System - Automated system for identifying potential policy violations"", ""count"": 1, ""spans"": [[173, 176]]}, {""term"": ""EchoTrace"", ""expansion"": ""Audit logging system that tracks user actions and system decisions for compliance reporting"", ""count"": 1, ""spans"": [[184, 193]]}, {""term"": ""PF"", ""expansion"": ""Personalization Feed - Algorithm that customizes content recommendations based on user behavior"", ""count"": 1, ""spans"": [[93, 95]]}]",,features.csv
csv_feature_0027,features_csv,csv,,,,,Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.",,,,,,,,,,9eaecbee537550daf4cd7cf38a5381700c60cf818df8144a1efee8ee1235976c,b16ef9ac653d45efaf57ebf53b3db4c00d5451fcf7c486a8f928e1ac373d2c5e,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 1, ""spans"": [[200, 203]]}, {""term"": ""Softblock"", ""expansion"": ""Temporary content restriction that can be reviewed and potentially reversed"", ""count"": 1, ""spans"": [[151, 160]]}]",,features.csv
csv_feature_0028,features_csv,csv,,,,,Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.",,,,,,,,,,ed176aa7091eaeff0039d7a6a7c200a3a4ee5bd305e2d87a54929a88cf0c32cc,61d910c4c96b1a4a810066a7f7e2a472844bd532389ad4e8473d2799d3d3cb99,"[{""term"": ""Snowcap"", ""expansion"": ""Enhanced protection system specifically designed for underage user accounts"", ""count"": 1, ""spans"": [[164, 171]]}]",,features.csv
csv_feature_0029,features_csv,csv,,,,,Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.",,,,,,,,,,b59702475e52a5ab12e68ca353f707b367fd011a4f2d290a4e7935fa5dbec00d,55c1729283ca1513706ec7a4e1513abbc8439e0a3deb2ffe466a4d3d39894f53,"[{""term"": ""ASL"", ""expansion"": ""Age Segmentation Logic - System for identifying and categorizing users by age groups for compliance"", ""count"": 1, ""spans"": [[202, 205]]}, {""term"": ""GH"", ""expansion"": ""Geo-Hash - Geographic targeting and restriction system for jurisdiction-specific features"", ""count"": 1, ""spans"": [[228, 230]]}, {""term"": ""T5"", ""expansion"": ""Threat Level 5 - Highest severity classification for content requiring immediate escalation"", ""count"": 1, ""spans"": [[114, 116]]}]",,features.csv
